"charName","Ship","damage","Class","Cargo","WeaponUpgr","ECM","Drugs","ExCargo","Commod","Drones","Analyzers","Warp Speed","Speed","Maneuverability","Size","WeaponSize","DroneBay","Defence","LockSpeed","CPU","Power","Power bank","CapRecharge","RegionName","borderSys","fringesys","CorridorSys","hubSys","internationalSys","regionalSys","constellationSys","SecurityStatus","Remote Reps","Remote Assistance","Armament","Mining","Scanning","SpeedMods","Ewar","CapPower","Cloack","Salvager","Warp Scrambler","Stasis Web","Cynosural Field","CovOpsCloack","Covert Cyno","MWD","AB","DUST","Clothes","Deployb","SleepSalv","Structure","Implant","Blueprint","Energy Destabilizer","Capacitor Booster","Ice Product","Interdiction Probe","Shield Extender","Shield Booster","Sresist","Repper","CargoVolume","Aresist","NofGates","N Attackers","Mic Security","Average Security","KilledBy","KilledByType","Frigates","Cruisers","Battleships","Industrials","Titans","Roockie Ships","Assault Ship","Heavy AS","Deep Space Transports","BattleCruisers","Destroyers","MiningBarges","Dreadnoughts","Interdictors","CommandShips","Exhumers","Interceptor","Logistics","Force Recon","Bomber","E - War","Heavy Interdictor","Black Ops","Marauder","Combat Recon Ship","Attack Battlecruiser","Blockade Runner","CovOps","Sit"
"Tim Folton                                        ","Talwar",2981,"Destroyer",400.0,1,0,0,0,0,0,0,4.5,255.0,20.898641588296762,60.0,1.0,0.0,1156.25,550.0,200.0,51.0,450.0,1.5517241379310345,"Black Rise",0,0,0,0,0,0,0,0.338464408401388,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.62,1,5,5,-10.0,-9.75658,"280mm Howitzer Artillery II","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"AKM74M                                            ","Venture",692,"Frigate",50.0,0,0,0,0,0,0,0,5.0,335.0,23.14814814814815,40.0,1.0,10.0,281.25,750.0,240.0,45.0,250.0,2.0,"Lonetrek",1,0,0,1,0,1,1,0.4199878214533583,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4861.2,0,4,1,4.852257,4.852257,"Heavy Neutron Blaster II","Hybrid Weapon",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining"
"BrundleMeth                                       ","Drake Navy Issue",29847,"Combat Battlecruiser",450.0,2,0,0,0,0,0,0,2.5,150.0,11.722559831945382,295.0,2.0,25.0,9000.0,195.0,550.0,900.0,2500.0,3.7999696002431977,"Kor-Azor",1,0,0,1,0,0,1,0.4381709993481272,0,0,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,346.01,0,4,3,-10.0,-9.333333333333334,"220mm Vulcan AutoCannon II","Projectile Weapon",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Cyno Mate                                         ","Magnate",882,"Frigate",400.0,0,0,0,0,0,0,0,5.0,350.0,24.548311076197958,39.0,1.0,40.0,417.5,445.0,230.0,26.0,325.0,1.8055555555555556,"Lonetrek",1,0,0,1,0,0,1,0.4169539116597136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,3,4,-2.4,1.463337,"200mm AutoCannon II","Projectile Weapon",0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyno"
"Milavita                                          ","Tengu",13667,"Strategic Cruiser",0.0,0,0,0,0,2,0,0,3.0,10.0,39.33430620184006,150.0,2.0,0.0,200.0,0.0,0.0,0.0,100.0,10.0,"Black Rise",0,0,0,0,0,0,0,0.3773302510081624,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,611.8399999999999,0,2,6,-2.1,-0.13333333333333344,"Caldari Navy Mjolnir Heavy Missile","Heavy Missile",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Scanning"
"Treno Venzail                                     ","Purifier",900,"Stealth Bomber",260.0,0,0,0,2,352,0,0,5.5,262.0,16.478775666517038,37.0,1.0,0.0,375.9046875,450.0,298.0,45.0,312.5,1.25,"Lonetrek",1,0,0,1,0,0,1,0.4169539116597136,0,0,1,0,0,1,0,0,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,562.08,0,3,3,-2.441633,-1.2138776666666666,"Heavy Beam Laser II","Energy Weapon",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"Remo Lethari                                      ","Buzzard",1403,"Covert Ops",190.0,0,0,0,0,4,0,0,8.0,306.0,18.44031791108079,50.0,1.0,0.0,575.0,405.0,300.0,15.0,218.75,1.1666666666666667,"Syndicate",1,0,0,1,0,0,1,-0.08093572170987129,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.69,0,6,1,5.0,5.0,"Caldari Navy Scourge Torpedo","Torpedo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Scanning"
"Stenley Sotken                                    ","Heron",749,"Frigate",400.0,0,0,0,2,64,0,0,5.0,340.0,24.357569114602363,40.0,1.0,35.0,425.0,430.0,260.0,24.0,245.0,1.8148148148148149,"The Forge",1,0,0,1,0,0,1,0.3519686534431311,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,135.33,0,3,1,-8.639607,-8.639607,"800mm Repeating Cannon II","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Scanning"
"forfax66                                          ","Heron",1000,"Frigate",400.0,0,0,0,0,0,0,0,5.0,340.0,24.357569114602363,40.0,1.0,35.0,425.0,430.0,260.0,24.0,245.0,1.8148148148148149,"Placid",1,0,1,0,0,0,1,0.3384160537741685,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,70.0,0,2,1,-9.262146,-9.262146,"Bouncer II","Combat Drone",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scanning"
"Phineas Udan                                      ","Griffin",924,"Frigate",260.0,0,0,0,0,0,0,0,5.0,325.0,27.056277056277057,42.0,1.0,5.0,458.75,500.0,240.0,24.0,245.0,1.8148148148148149,"The Bleak Lands",0,0,0,1,0,0,0,0.3634801594787575,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,0,4,2,-10.0,-9.9,"720mm Howitzer Artillery II","Projectile Weapon",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hauling"
"X Mayce                                           ","Rifter",2951,"Frigate",140.0,1,0,0,0,0,0,0,5.0,355.0,29.37953362928317,35.0,1.0,0.0,630.0,660.0,125.0,38.0,250.0,2.0,"The Bleak Lands",1,0,0,1,0,0,1,0.4205274311943741,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,164.6375,2,5,1,-2.101433,-2.101433,"Light Ion Blaster II","Hybrid Weapon",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Sallest                                           ","Condor",993,"Frigate",130.0,0,0,0,0,0,0,0,5.0,400.0,31.34796238244514,33.0,1.0,0.0,458.75,880.0,185.0,35.0,300.0,2.0,"Derelik",1,0,0,1,0,0,1,0.4739061737264941,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,140.10999999999999,1,5,2,0.4,1.037393,"Heavy Ion Blaster II","Hybrid Weapon",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Nevare Wong                                       ","Condor",1623,"Frigate",130.0,0,0,0,0,0,0,0,5.0,400.0,31.34796238244514,33.0,1.0,0.0,458.75,880.0,185.0,35.0,300.0,2.0,"Placid",1,0,0,1,0,0,1,0.3099625379063336,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83.595,0,3,1,2.072353,2.072353,"Small Focused Beam Laser II","Energy Weapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Pietrina Chang                                    ","Heron",800,"Frigate",400.0,0,0,0,0,0,0,0,5.0,340.0,24.357569114602363,40.0,1.0,35.0,425.0,430.0,260.0,24.0,245.0,1.8148148148148149,"Aridia",0,0,0,1,0,0,0,0.1853875895772117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,90.0,0,3,1,-0.8421661,-0.8421661,"Garde II","Combat Drone",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyno"
"Phoebe Alitar                                     ","Kestrel",1287,"Frigate",160.0,0,0,0,0,0,0,0,5.0,320.0,26.294961096605057,38.0,1.0,0.0,598.75,620.0,180.0,45.0,330.0,2.0,"Molden Heath",0,0,0,1,0,0,0,0.2504577487622691,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,3,1,4.799203,4.799203,"200mm AutoCannon II","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hauling"
"Uberlife                                          ","Ibis",596,"Rookie ship",125.0,0,0,0,0,0,0,0,3.0,295.0,19.107671730199677,52.0,,5.0,229.375,475.0,110.0,22.0,130.0,2.0,"Metropolis",1,0,0,1,0,0,1,0.5209124992504186,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,7,1,0.005623668,0.005623668,"Small Focused Anode Pulse Particle Stream I","Energy Weapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"Uberlife                                          ","Ibis",595,"Rookie ship",125.0,0,0,0,0,0,0,0,3.0,295.0,19.107671730199677,52.0,,5.0,229.375,475.0,110.0,22.0,130.0,2.0,"Metropolis",1,0,0,1,0,0,1,0.5209124992504186,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,7,1,0.005623668,0.005623668,"Small Focused Anode Pulse Particle Stream I","Energy Weapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"beaconBoy SavesTheDay                             ","Ibis",523,"Rookie ship",125.0,0,0,0,0,0,0,0,3.0,295.0,19.107671730199677,52.0,,5.0,229.375,475.0,110.0,22.0,130.0,2.0,"Sinq Laison",0,0,1,0,0,0,0,0.438754755909373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,54.8,0,2,1,-5.906241,-5.906241,"Hammerhead II","Combat Drone",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyno"
"Marclonus                                         ","Breacher",5069,"Frigate",175.0,0,0,0,0,0,0,0,5.0,350.0,29.1127595402513,36.0,1.0,10.0,598.75,650.0,180.0,35.0,300.0,2.0,"Placid",1,0,0,1,0,0,1,0.289309115052423,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,168.025,0,4,1,-3.032862,-3.032862,"200mm AutoCannon II","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Hitamino                                          ","Buzzard",1297,"Covert Ops",190.0,0,0,0,0,54,0,0,8.0,306.0,18.44031791108079,50.0,1.0,0.0,575.0,405.0,300.0,15.0,218.75,1.1666666666666667,"Fountain",0,0,0,1,0,0,0,-0.1550282814880748,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,237.92999999999998,0,4,1,4.804893,4.804893,"Light Ion Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Scanning"
"Marclonus                                         ","Malediction",1682,"Interceptor",98.0,0,0,0,0,0,0,0,8.0,435.0,27.05408110813516,33.0,1.0,0.0,585.0,900.0,150.0,35.0,355.0,1.3333333333333333,"Placid",0,1,0,0,0,0,0,0.3300450347926329,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,162.515,1,2,5,-3.2,-1.7184992000000001,"Federation Navy Ogre","Combat Drone",2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Tutifruity                                        ","Amarr Shuttle",566,"Shuttle",10.0,0,,,,,,,5.0,500.0,62.5,25.0,,0.0,302.0,,150.0,25.0,250.0,0.6666666666666666,"The Citadel",1,0,0,1,0,0,1,0.602213088622228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,-9.999036,-9.999036,"250mm Light Prototype Siege Cannon","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"Tutifruity                                        ","Rattlesnake",126330,"Battleship",665.0,5,1,0,0,29,6,0,2.0,94.0,7.867573011077543,460.0,3.0,400.0,15519.900000000001,100.0,710.0,10000.0,5312.0,4.599631994804633,"Genesis",0,0,1,0,0,0,0,0.4881938587972514,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,1,0,0,0,0,2,4,0,1092.24,3,2,1,5.0,5.0,"425mm AutoCannon II","Projectile Weapon",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvE"
"Zettarra                                          ","Abaddon",57573,"Battleship",525.0,1,0,0,0,0,2,0,2.0,89.0,6.921373200442967,470.0,3.0,75.0,10812.5,85.0,560.0,21000.0,6375.0,5.1000000000000005,"The Forge",1,0,0,1,0,1,1,0.9459131166648389,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419.0,2,7,1,-0.8270779,-0.8270779,"Hammerhead II","Combat Drone",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PvP Generic"
"Color lessness                                    ","Mackinaw",9054,"Exhumer",450.0,0,0,0,0,0,4,0,3.3,80.0,7.59013282732448,250.0,2.0,50.0,3727.5,660.0,270.0,35.0,500.0,2.6666666666666665,"Lonetrek",1,0,0,1,0,1,1,0.6350155561969852,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33228.299999999996,0,6,2,-10.0,-10.0,"Anode Light Neutron Particle Cannon I","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining"
"Iwaken Tousaka                                    ","Retriever",7060,"Mining Barge",450.0,0,0,0,0,0,0,0,3.0,80.0,7.59013282732448,250.0,2.0,25.0,2815.0,660.0,235.0,35.0,250.0,1.3333333333333333,"Lonetrek",1,0,0,1,0,0,1,0.4945098917559698,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,134.6,0,4,1,4.4695,4.4695,"Light Neutron Blaster II","Hybrid Weapon",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining"
"Falkorn Gang                                      ","Venture",2666,"Frigate",50.0,0,0,0,0,0,0,0,5.0,335.0,23.14814814814815,40.0,1.0,10.0,281.25,750.0,240.0,45.0,250.0,2.0,"Lonetrek",0,0,0,1,0,0,0,0.349161331944607,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,826.2,0,4,1,-0.4,-0.4,"425mm AutoCannon II","Projectile Weapon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mining"
"Big-Red Draken                                    ","Corax",4104,"Destroyer",450.0,0,0,0,0,0,0,0,4.5,235.0,19.49317738791423,69.0,1.0,0.0,1195.0,475.0,210.0,48.0,500.0,1.5625,"Lonetrek",0,1,0,0,0,0,0,0.7452549433180888,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,123.84499999999998,0,1,1,0.6,0.6,"Light Neutron Blaster II","Hybrid Weapon",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scanning"
"Antoxa Kireev                                     ","Corax",2668,"Destroyer",450.0,0,1,0,0,1,0,0,4.5,235.0,19.49317738791423,69.0,1.0,0.0,1195.0,475.0,210.0,48.0,500.0,1.5625,"Essence",0,0,0,1,0,0,0,0.373262599738129,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,117.70499999999997,0,3,1,-9.999999,-9.999999,"Light Neutron Blaster II","Hybrid Weapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
"Feliska                                           ","Nemesis",4303,"Stealth Bomber",215.0,0,0,0,0,0,0,0,5.5,264.0,15.490419717569374,37.0,1.0,0.0,376.23125000000005,425.0,307.0,38.0,293.75,1.25,"The Spire",0,0,0,1,0,0,0,-0.423239918,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,325,0,2,0,0,0,401.2,0,4,2,0.4259829,2.71299145,"Federation Navy Garde","Combat Drone",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Cyno"
"LilDezy                                           ","Crane",8762,"Blockade Runner",3500.0,0,0,0,0,0,0,0,6.0,165.0,18.115942028985508,125.0,2.0,0.0,1701.8375,225.0,285.0,125.0,843.75,3.3333333333333335,"Black Rise",0,0,0,0,0,0,0,0.4156230084766713,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3395.0,0,4,6,-10.0,-9.2806935,"Heavy Ion Blaster II","Hybrid Weapon",0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hauling"
"Damal Solas                                       ","Cormorant",2372,"Destroyer",425.0,0,0,0,1,5,0,0,4.5,250.0,21.159542953872197,65.0,1.0,0.0,1125.0,475.0,200.0,68.0,600.0,1.875,"Lonetrek",0,0,0,1,0,0,0,0.6876963454186537,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51.77,0,3,1,1.127219,1.127219,"Scourge Fury Light Missile","Advanced Light Missile",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other"
