SolarSystemID,Victim,Ship,Damage Taken
30000156,Joe Grayne,Cormorant,12190
30000186,Tal Holt,Algos,4764
30000163,Jean deSale,Viator,4896
30000142,Jifa Zateki,Capsule,424
30000163,meatomatic,Hound,1082
30000142,Jifa Zateki,Breacher,3268
30000156,Dzoni Cross,Tormentor,1455
30000156,Yankunytjatjara,Coercer,5623
30000157,Ren Austrene,Thrasher,4207
30000156,PhenixJr,Thrasher,2888
30000163,morley911,Prophecy,17917
30000156,Joe Grayne,Atron,2454
30000144,Bain Olacar,Iteron Mark V,4080
30000142,Kethrian,Capsule,461
30000142,Kethrian,Raptor,1327
30000198,Wolkus Rotsuda,Capsule,400
30000198,Wolkus Rotsuda,Heron,910
30000186,AuriCOM Aurum,Drake,51205
30000186,AuriCOM Aurum,Capsule,439
30000144,oliamarr,Capsule,384
30000162,YuriMiner Annages,Impairor,534
30000144,oliamarr,Executioner,1085
30000162,Kane Gepp,Capsule,454
30000162,Xii Wangmu,Capsule,384
30000156,Yankunytjatjara,Coercer,2956
30000162,Kane Gepp,Iteron Mark V,1696
30000162,Xii Wangmu,Ibis,517
30000156,jallin,Talwar,2672
30000139,Shiva Severasse,Capsule,391
30000156,Dougfunny Aurilen,Merlin,1530
30000144,Draden Blackheart,Capsule,384
30000156,Void Touch,Rifter,2157
30000144,Draden Blackheart,Venture,622
30000142,Conrad Blacke,Catalyst,3086
30000142,TehFresh,Capsule,391
30000142,Scarity Akromeara,Ibis,605
30000142,TehFresh,Rifter,2311
30000164,AE Rivven,Megathron,48921
30000163,Xii Wangmu,Tayra,2557
30000156,Hormone1971,Stabber,8652
30000186,Tombstone Carver,Slasher,2217
30000157,mekirite Kautsuo,Rifter,2095
30000156,PhenixJr,Maulus,1162
30000194,Aedanis,Probe,2142
30000145,ODESSA UA,Ishtar,14182
30000145,ODESSA UA,Capsule,460
30000156,Grave00,Kestrel,1495
30000139,rod Crown,Capsule,447
30000144,Quorra Adama,Iteron Mark V,3654
30000142,Sgt Felix,Drake,25272
30000142,Legacy XXIII,Reaper,477
30000142,Svammel Fancypants,Raptor,1699
30000142,Svammel Fancypants,Capsule,437
30000156,Clone 163526,Slasher,1120
30000156,Ren Austrene,Corax,4303
30000156,DanBoucher,Caracal,19926
30000156,Rose Valora,Merlin,2748
30000156,Calico Jack Rose,Punisher,2540
30000156,ZacK Dust,Cormorant,2634
30000162,Hakaaren,Ibis,460
30000156,TREMENDOJ,Condor,1269
30000156,Metal Jack,Thrasher,2933
30000156,Cosmo Blink,Cormorant,2799
30000156,Costodes OldMadLady,Cormorant,2891
30000156,Dzoni Cross,Punisher,1840
30000156,Aerondight,Omen,13853
30000156,Rise Altol,Vexor,8822
30000142,Twizted3,Cynabal,38338
30000156,Pteradactyle,Caracal,8339
30000156,Colonel Auralia,Atron,1102
30000156,PhenixJr,Maulus,1169
30000156,Viktor Rachtburger,Merlin,3680
30000156,Dougfunny Aurilen,Kestrel,3275
30000156,Rose Valora,Merlin,2753
30000156,jallin,Thrasher,2849
30000156,maximus teipsum,Vexor,10771
30000144,Magic kofr,Enyo,3317
30000156,Beben GT,Condor,966
30000156,Adrasteia Rhamnusia,Atron,1288
30000156,ZacK Dust,Caracal,9151
30000156,credokat,Bellicose,9508
30000144,Richard Gregor,Rifter,1720
30000144,Romann Ernaga,Capsule,402
30000144,Richard Gregor,Capsule,431
30000156,Giao Stasarik,Thrasher,4271
30000156,Cosmo Blink,Stabber,11871
30000156,Goladin,Thorax,5461
30000144,Romann Ernaga,Venture,648
30000156,Rahnaar,Incursus,2456
30000156,dark102042 Arzi,Coercer,2915
30000156,Colonel Auralia,Rifter,2152
30000156,Martha Gomerz,Condor,1055
30000156,Lockheed19,Kestrel,1723
30000169,AdiPromillo,Cyclone,23555
30000156,Clone 163526,Slasher,1109
30000142,Gary Awkwardson,Incursus,1587
30000169,ToXicPaIN,Cyclone,26222
30000156,Metal Jack,Merlin,3246
30000163,Jack of Hearts,Magnate,987
30000142,Shar Chang,Capsule,458
30000186,Alex Strix,Capsule,441
30000169,0mura Takamori,Cyclone,23695
30000160,Rinjani,Proteus,28722
30000160,Rinjani,Capsule,461
30000162,Yarrr grr,Thrasher,2855
30000157,Dougfunny Aurilen,Corax,3077
30000157,Weizmir,Thrasher,2940
30000157,Goladin,Thorax,5471
30000169,Blackdragon1704,Drake,26533
30000142,Maxine Antilles,Hyperion,213244
30000169,Bi0WoIf,Probe,862
30000180,Duku84,Capsule,435
30000163,Jack of Hearts,Magnate,987
30000142,Shar Chang,Capsule,458
30000186,Alex Strix,Capsule,441
30000169,0mura Takamori,Cyclone,23695
30000160,Rinjani,Proteus,28722
30000160,Rinjani,Capsule,461
30000162,Yarrr grr,Thrasher,2855
30000157,Dougfunny Aurilen,Corax,3077
30000157,Weizmir,Thrasher,2940
30000157,Goladin,Thorax,5471
30000169,Blackdragon1704,Drake,26533
30000142,Maxine Antilles,Hyperion,213244
30000169,Bi0WoIf,Probe,862
30000180,Duku84,Capsule,435
30000154,Colin Alfrir,Rifter,2192
30000180,Duku84,Tengu,10779
30000156,Winston Beldrulf,Slasher,1007
30000156,ZacK Dust,Bellicose,7627
30000156,TREMENDOJ,Condor,1627
30000156,Void Touch,Rifter,2680
30000142,Cquj ThePredator,Capsule,450
30000156,Giao Stasarik,Thrasher,4561
30000156,Winston Beldrulf,Slasher,1071
30000156,maximus teipsum,Caracal,8496
30000204,PoisonDwarf,Navitas,980
30000156,jallin,Slasher,2373
30000156,Lenell,Algos,4929
30000156,DanBoucher,Caracal,20790
30000204,Xander Starwind,Covetor,6444
30000169,Pyroman1202,Heron,930
30000169,Bi0WoIf,Probe,862
30000142,Catalytic morphisis,Raven,81695
30000157,Dougfunny Aurilen,Cormorant,2821
30000142,Blood Siphon,Gila,12250
30000179,,Corporate Hangar Array,57516
30000156,Totilas,Slasher,1355
30000179,,Mobile Laboratory,21944
30000139,Khez Iqbal,Velator,550
30000156,Martha Gomerz,Merlin,3168
30000156,Void Touch,Rifter,2676
30000156,NOmak107,Rapier,9301
30000156,Lenell,Tristan,2932
30000179,,Component Assembly Array,56610
30000145,red GB,Rifter,1537
30000156,jallin,Slasher,2096
30000186,Pandora Rollard,Nereus,5178
30000186,Pandora Rollard,Capsule,428
30000156,Cosmo Blink,Malediction,2343
30000179,,Advanced Mobile Laboratory,18794
30000179,,Mobile Laboratory,19535
30000186,Tombstone Carver,Slasher,2325
30000163,Charon von Thiesant,Epithal,2531
30000179,,Mobile Laboratory,19024
30000186,Nikole Lazond,Impairor,649
30000186,John Kowalskyx,Capsule,421
30000142,Catalytic morphisis,Tormentor,2959
30000179,,Corporate Hangar Array,56690
30000158,Venrir Valyarius,Drake,36517
30000182,Aeonth,Mobile Tractor Unit,48572
30000186,Robin Gnida,Reaper,585
30000169,Chap Raholan,Corax,4184
30000156,NOmak107,Stabber,10518
30000186,Lea Hawkins,Manticore,1342
30000186,Lea Hawkins,Capsule,439
30000156,DanBoucher,Crow,2804
30000182,Slay Stallone,Executioner,1283
30000163,cubiform,Occator,9733
30000139,Wolfram Ulv,Capsule,458
30000186,Gabriel Orti,Crusader,1890
30000131,Van Doe,Condor,945
30000169,Shtopor 1987,Manticore,1566
30000186,Roma Freem,Capsule,428
30000169,sergeyZZ,Manticore,1603
30000169,Nikole Lazond,Purifier,1158
30000169,Lettex A,Hound,2124
30000144,Zordo,Crane,4868
30000158,Venrir Valyarius,Mobile Tractor Unit,49663
30000156,Legedric Striker,Kestrel,1496
30000156,Red SmashMOUTH,Kestrel,2038
30000156,Buldozer Hakaari,Miasmos,1983
30000169,Robin Gnida,Gnosis,35632
30000157,Amelia Taron,Thrasher,3257
30000157,The Aprentice,Atron,1769
30000131,Legedric Striker,Kestrel,8218
30000169,Tiky Mikk,Drake,48635
30000169,GhostMoon,Rapier,11582
30000169,canio zarj,Manticore,1239
30000169,IGEXI,Gnosis,37413
30000186,pinkiaiiiLT pinky,Capsule,420
30000169,Tiky Mikk,Tornado,11272
30000186,pinkiaiiiLT pinky,Catalyst,4304
30000142,Detterence Onzo,Tayra,2826
30000148,Phelia Star,Capsule,476
30000142,doc know,Capsule,461
30000164,Zerg Lurker Okanata,Heron,871
30000148,Phelia Star,Stabber,12423
30000142,doc know,Maller,26056
30000153,Oromgo,Tayra,1964
30000142,Ael Dae,Capsule,453
30000186,Ed Shiu,Capsule,397
30000186,Ed Shiu,Talwar,2670
30000157,Sergey Ackerman,Thrasher,3029
30000142,Neltharak Idrissil,Capsule,457
30000142,Neltharak Idrissil,Reaper,585
30000200,Wurby Hadah,Deimos,7264
30000163,jox Otomeya,Iteron Mark V,1614
30000154,Khez Iqbal,Merlin,3148
30000186,Blue Curse,Myrmidon,17872
30000186,Blue Curse,Capsule,439
30000142,Megazord Taranogas,Iteron Mark V,2679
30000163,FolkoAlt1,Probe,903
30000142,xBlueLightx,Kestrel,3310
30000142,Catalytic morphisis,Taranis,1725
30000154,dark102042 Arzi,Breacher,2343
30000154,Clone 163526,Slasher,1097
30000163,Tobias Egivand,Reaper,550
30000154,Jason McCollins,Punisher,3797
30000163,Archie Luggins,Velator,687
30000197,fang ed,Ibis,465
30000142,Druscilla Pelt,Capsule,456
30000142,Druscilla Pelt,Executioner,1305
30000186,Roma Freem,Capsule,427
30000186,Roma Freem,Caracal,7629
30000186,Arqer,Rattlesnake,42149
30000154,Jason McCollins,Tormentor,2523
30000186,Rush Elite,Capsule,446
30000186,Rush Elite,Manticore,1142
30000180,Lord Voleslo,Procurer,29564
30000186,Harshemish Shamshir,Vengeance,3566
30000142,Glory Schneider,Capsule,391
30000186,Tombstone Carver,Slasher,2284
30000196,MaTeN DomokL,Reaper,518
30000142,Andrei Ikkala,Capsule,439
30000182,Chetyre Harosh,Mobile Tractor Unit,50279
30000142,Andrei Ikkala,Capsule,439
30000142,Andrei Ikkala,Navitas,2281
30000169,Sofalus Anna,Heron,820
30000142,Mackedonskiy,Capsule,461
30000142,Mackedonskiy,Tornado,6499
30000186,Yan Shadrihin,Capsule,450
30000186,Yan Shadrihin,Caracal,12042
30000142,Lucian Leroux,Capsule,445
30000186,Puccia Freir,Probe,2125
30000156,Avhran Illat,Slasher,1430
30000169,Malcavian Zein,Bustard,12513
30000186,Tai Irbiss,Capsule,461
30000186,Tai Irbiss,Buzzard,1370
30000156,Red SmashMOUTH,Incursus,4199
30000142,Jugger Belvar,Capsule,458
30000186,Fesan Gelfin,Caracal,8896
30000156,Drowden Blacklyche,Capsule,436
30000186,Fesan Gelfin,Capsule,423
30000156,kolosok12 Aivo,Epithal,2422
30000186,Garskes,Capsule,409
30000198,Enkiddu Aldurald,Capsule,422
30000186,Oxotnik Xan,Harpy,5342
30000186,Rush Elite,Manticore,1142
30000186,Rush Elite,Capsule,445
30000142,Rija Maupa,Thrasher,2380
30000142,Nornu Khamsi,Capsule,429
30000142,Nornu Khamsi,Venture,641
30000142,TheSennin,Capsule,429
30000142,Redd Olgidar,Astero,2034
30000142,Redd Olgidar,Capsule,436
30000186,Tombstone Carver,Slasher,2382
30000158,Micha Madlor,Mobile Tractor Unit,50191
30000153,Sergey Ackerman,Thrasher,2815
30000186,Jone COX,Capsule,399
30000186,Jone COX,Cormorant,3488
30000162,Hakaaren,Ibis,460
30000142,Jugger Belvar,Atron,2043
30000156,Jormun Kamu,Breacher,3460
30000156,ZacK Dust,Corax,2963
30000156,Void Touch,Rifter,1958
30000142,Nasil Dulgur,Manticore,1065
30000156,Jormun Kamu,Rifter,3086
30000142,Caramis B,Prorator,4513
30000142,Caramis B,Capsule,450
30000194,Tasik78,Heron,910
30000194,Tasik78,Capsule,429
30000182,Aeonth,Mobile Tractor Unit,10922
30000156,magikalcoffee,Condor,1223
30000194,Quaritch Beercase,Arbitrator,4920
30000194,Quaritch Beercase,Capsule,431
30000142,Yan Shadrihin,Hawk,5702
30000142,Allaina Meza,Harbinger,18043
30000186,Fox Altaar,Maller,7894
30000153,Den Thellere,Iteron Mark V,3799
30000153,nanogen,Vexor,9138
30000203,Cladius Julian,Enyo,3451
30000203,Cladius Julian,Capsule,458
30000186,Karabuksna Badasaz,Omen Navy Issue,10194
30000200,jitama Sabezan,Capsule,382
30000200,jitama Sabezan,Impairor,544
30000156,SpleanKrusher,Atron,1801
30000186,Jone COX,Cormorant,8793
30000156,Bald Rikk,Tristan,5715
30000156,magikalcoffee,Vexor,18260
30000156,Nicolas Ulsvale,Merlin,3184
30000156,Paou Compli,Atron,2586
30000142,honoka Saraki,Condor,965
30000142,Omnomnom Nomz,Gallente Shuttle,448
30000156,Nicolas Ulsvale,Atron,2419
30000156,SpleanKrusher,Atron,1792
30000142,Doctor Per,Proteus,56169
30000142,Doctor Per,Capsule,589
30000156,Nicolas Ulsvale,Cormorant,4643
30000142,Lenai Zenork,Capsule,439
30000156,Bald Rikk,Thrasher,2905
30000142,Lenai Zenork,Cormorant,2718
30000153,Huey Wolvesbane,Mammoth,2610
30000186,boroda4 bor,Caracal,9013
30000156,Nicolas Ulsvale,Algos,4385
30000156,magikalcoffee,Thorax,11510
30000142,Hi There 01,Reaper,593
30000172,Kiernan Shipka,Tengu,38595
30000156,Bald Rikk,Talwar,4343
30000142,WoolyFetish,Reaper,584
30000142,xBlueLightx,Breacher,5752
30000153,armed body,Tayra,4891
30000142,Nikita Shakirov,Capsule,405
30000142,Nikita Shakirov,Caracal,5784
30000142,Eto Pan,Ibis,555
30000142,Eto Pan,Capsule,418
30000142,Root Maken,Capsule,444
30000156,Cosmo Blink,Slasher,2549
30000186,Kotcat Wild,Vexor,14563
30000142,Root Maken,Tristan,1737
30000186,boroda4 bor,Caracal,9619
30000186,boroda4 bor,Capsule,408
30000142,I Gera,Incursus,3120
30000156,dark102042 Arzi,Coercer,2907
30000142,Mongaar,Capsule,464
30000142,Mongaar,Amarr Shuttle,579
30000142,Brin Aideron,Capsule,421
30000186,Cosmo Blink,Stabber,8568
30000142,Brin Aideron,Tristan,1915
30000156,Cpt Pugwash,Taranis,1777
30000186,Pavel Makanen,Tengu,19527
30000157,Hadriel Virpio,Atron,1290
30000156,Doom Helm,Slasher,1693
30000156,Hadriel Virpio,Cormorant,4273
30000142,death man killthemall,Capsule,464
30000142,death man killthemall,Incursus,2237
30000156,Rasputin1979,Kestrel,4067
30000186,Duncan Lawless,Capsule,419
30000186,Duncan Lawless,Drake,23295
30000156,Architeuthis Rex,Ares,2855
30000156,Yankunytjatjara,Coercer,3009
30000163,Nakoti Maycko,Velator,508
30000156,Yankunytjatjara,Talwar,4222
30000199,Lucia Tarjin,Capsule,461
30000156,Charlie Nonoke,Atron,1241
30000156,Yankunytjatjara,Coercer,3288
30000142,MrBudgie Smuggler,Capsule,384
30000186,Carlita Desposito,Federation Navy Comet,5380
30000156,Yankunytjatjara,Corax,3134
30000153,Viktor Balthasar,Mackinaw,10896
30000156,Darren Panala,Condor,977
30000186,Carlita Desposito,Stabber,8962
30000156,Darren Panala,Condor,1533
30000156,Alexey Ra,Mackinaw,9183
30000163,Onuris I,Manticore,1210
30000145,KANE 666,Kestrel,3934
30000142,Ivanrus,Enyo,4395
30000153,Syrinx Romulus,Mackinaw,9830
30000153,Syrinx Romulus,Capsule,449
30000200,jitama Sabezan,Capsule,384
30000142,David Malach,Tornado,7659
30000200,jitama Sabezan,Impairor,545
30000156,Doom Helm,Slasher,2498
30000185,hawet proferty,Drake,17093
30000156,Architeuthis Rex,Tristan,4502
30000142,Akkurate Arnoux,Capsule,458
30000156,Bacon Pizza,Atron,1499
30000169,Coash Warlon,Capsule,461
30000142,Akkurate Arnoux,Imicus,1080
30000163,reaper2479,Viator,5511
30000169,Coash Warlon,Gnosis,17603
30000157,Architeuthis Rex,Tristan,2200
30000160,Aleksei Shustov,Capsule,384
30000160,Aleks Shustov,Mackinaw,8643
30000160,Aleksei Shustov,Retriever,6203
30000160,Aleks Shustov,Capsule,407
30000142,Nemleon,Incursus,4086
30000142,Ralamina,Capsule,580
30000142,Thoren Terensis,Capsule,447
30000142,Thoren Terensis,Talwar,2682
30000156,Kirk Ernaga,Corax,3436
30000162,dropersi,Slasher,981
30000156,Van Doe,Corax,4363
30000156,Indis Inzilbeth,Merlin,1981
30000153,anseraks,Badger,7229
30000186,Freespeaker,Vexor,12180
30000156,Hormone1971,Cormorant,3033
30000156,SpleanKrusher,Atron,2311
30000142,Tank McCoy,Manticore,1114
30000142,Tank McCoy,Capsule,461
30000156,Yankunytjatjara,Atron,1336
30000156,Michael Buble,Brutix,15305
30000156,Yankunytjatjara,Atron,1319
30000142,Nikolachka Karpuhin,Caracal,5779
30000186,IceLoli Berns,Vexor,11002
30000186,Crusader Colossus,Stabber,5309
30000186,Talir Reegar,Coercer,6660
30000156,SpleanKrusher,Merlin,6527
30000156,Colman Dietmar,Thorax,8283
30000156,Yankunytjatjara,Omen,9556
30000156,Syclone Tracy,Moa,15362
30000157,Chap Uitoh,Moa,9622
30000156,PLeonast,Algos,7993
30000204,Kizuna Encounter,Magnate,883
30000162,Rossa Horror,Ibis,522
30000142,Cortana Holo,Gnosis,20067
30000156,Van Doe,Condor,960
30000186,Simo Ojibwa,Capsule,412
30000156,Yankunytjatjara,Slasher,2451
30000186,Simo Ojibwa,Ibis,562
30000156,Hormone1971,Caldari Navy Hookbill,2369
30000186,Simo Ojibwa,Capsule,413
30000163,lnchiette,Imicus,908
30000156,Architeuthis Rex,Tristan,2775
30000186,Simo Ojibwa,Ibis,562
30000186,Simo Ojibwa,Ibis,561
30000186,Simo Ojibwa,Capsule,413
30000186,Simo Ojibwa,Ibis,563
30000186,Simo Ojibwa,Capsule,413
30000186,Simo Ojibwa,Capsule,415
30000156,Colman Dietmar,Atron,1156
30000163,alex tuinier,Capsule,413
30000186,Simo Ojibwa,Ibis,671
30000163,lowrawhiti rawhiti,Capsule,414
30000163,lowrawhiti rawhiti,Harbinger,21496
30000163,alex tuinier,Arbitrator,7146
30000157,PLeonast,Thorax,14539
30000157,me0de,Brutix,23005
30000157,Syclone Tracy,Moa,15632
30000157,Edible Douche,Wolf,2583
30000157,Flailing Junk,Moa,26982
30000157,AceO Heart,Thorax,11003
30000169,Hailey Elisabeth,Vexor,6852
30000157,Taguchi Hiroko,Brutix,20492
30000157,Colman Dietmar,Maller,23823
30000157,Firey Jack,Vexor,20130
30000157,PLeonast,Algos,5122
30000157,Van Doe,Condor,1008
30000157,evilphoenix,Maulus,1613
30000157,Architeuthis Rex,Tristan,3746
30000157,EnyoEnyoEnyoEnyoEnyoEnyo EnyoEnyoEnyo,Incursus,2491
30000157,Van Doe,Condor,1086
30000157,Colman Dietmar,Atron,1223
30000142,General Peanut,Reaper,585
30000157,Chap Uitoh,Algos,3282
30000157,Sentis Nalelmir,Incursus,1859
30000142,xBlueLightx,Catalyst,3084
30000186,Cloud Cool,Catalyst,2666
30000186,Cloud Cool,Capsule,402
30000142,Atmora Green,Thrasher,2682
30000142,Atmora Green,Capsule,432
30000186,Simo Ojibwa,Capsule,414
30000156,Synical Isu,Kestrel,2031
30000156,roblack Dunedain,Mobile Tractor Unit,47968
30000186,Simo Ojibwa,Ibis,559
30000157,Chap Uitoh,Brutix,18279
30030141,Johan Force,Capsule,413
30000144,Atmora Green,Amarr Shuttle,469
30030141,Johan Force,Corax,2749
30000157,Hormone1971,Tristan,2404
30000157,Dexter Philips,Rifter,1385
30000157,PLeonast,Incursus,4954
30000157,Chap Uitoh,Kestrel,1583
30000142,Miles Aeternus,Ishkur,2849
30000157,Dexter Philips,Thrasher,2743
30000142,quickmen,Capsule,461
30000142,quickmen,Algos,5577
30000200,licao Igunen,Venture,690
30000142,Lightway,Capsule,450
30000142,pavlo shtirlitz,Capsule,413
30000142,pavlo shtirlitz,Reaper,530
30000186,Simo Ojibwa,Capsule,413
30000186,Simo Ojibwa,Merlin,1395
30000142,quickmen,Merlin,5991
30030141,ringusworm,Merlin,3570
30030141,ringusworm,Capsule,474
30000157,Chap Uitoh,Rifter,2214
30000142,Kyle Slapflap,Capsule,391
30000142,SwagginAllDay 420,Kestrel,1378
30000163,Viceroy Styx,Capsule,399
30000142,Zelot Blueice,Mammoth,2763
30000142,quickmen,Capsule,461
30000142,quickmen,Caldari Navy Hookbill,2346
30000142,AlexThunder,Rifter,2222
30000162,Suiop Ormand,Merlin,1312
30000163,Viceroy Styx,Impairor,510
30000142,repetiton,Capsule,458
30000195,Sir Otzelot,Capsule,391
30000195,Sir Otzelot,Ibis,481
30000144,Graham Aurilen,Mobile Tractor Unit,50897
30000142,Rhiannon Pendragon,Velator,616
30000157,Zaraki Prime,Thrasher,2851
30000142,Zelot Blueice,Taranis,1730
30000156,ArcLos Xyn,Incursus,3041
30000162,Miss One,Capsule,384
30000162,Miss One,Reaper,490
30000194,Dr Maker,Obelisk,182085
30000131,Pumukel Lebowski,Capsule,405
30000131,Pumukel Lebowski,Cormorant,5065
30000163,BubblesMan,Orca,59882
30000169,Maglin,Drake,27339
30000156,GARRI STRAUSINO,Drake Navy Issue,23478
30000156,GARRI STRAUSINO,Capsule,421
30000142,doc know,Capsule,461
30000142,doc know,Gnosis,38410
30000195,Actaxirius,Tayra,2490
30000156,ArcLos Xyn,Atron,1689
30000156,ArcLos Xyn,Incursus,2801
30000156,DanBoucher,Crow,1739
30000156,evilphoenix,Maulus,1206
30000156,me0de,Wolf,2685
30000156,Taguchi Hiroko,Atron,1916
30000156,RollinDutchMasters,Slasher,1719
30030141,Dwart Virpio,Capsule,384
30000163,Nefelim Trader,Heron,824
30030141,Dwart Virpio,Ibis,552
30000163,Innamoyr,Ibis,517
30000142,GHOST SLAVER,Rifter,2020
30000156,Nathan Powers,Reaper,497
30000156,Nathan Powers,Capsule,392
30000156,RollinDutchMasters,Slasher,1666
30000154,ArcLos Xyn,Incursus,2120
30000156,lord kershane,Talwar,3525
30000156,ArcLos Xyn,Merlin,3480
30000156,ArcLos Xyn,Incursus,2754
30000142,Ostris Greshan,Capsule,409
30000142,Ostris Greshan,Retriever,6643
30000156,Vogels,Enyo,2703
30000142,Hi There 01,Amarr Shuttle,557
30000156,Dexter Philips,Atron,1272
30000156,ArcLos Xyn,Rifter,2117
30000156,SpleanKrusher,Thrasher,3985
30000156,NaToth Sjet,Thrasher,2627
30000142,wang jiang,Ibis,625
30000169,BoLTUsHkA,Tengu,9510
30000144,DreamRipperOs,Gnosis,28175
30000162,Dido Alfa,Ibis,531
30000156,ArcLos Xyn,Atron,1340
30000142,Hi There 01,Amarr Shuttle,557
30000156,Leandros Aideron,Maulus,1193
30000142,Hi There 01,Thrasher,2705
30000169,SPACEINVADER NZ,Bestower,2378
30000156,ArcLos Xyn,Atron,2503
30000194,Jack Snipe,Executioner,2052
30000127,Ty Kichard,Velator,584
30000156,ArcLos Xyn,Rifter,2122
30000156,DanBoucher,Slasher,1919
30000156,C11H17NO3,Stabber,12097
30000142,A Goonswarm Recruiter,Capsule,384
30000169,Balactus,Viator,4597
30000144,John Bloodryder,Capsule,410
30000156,Xezox,Drake,31308
30000156,Gabriel Asher,Algos,4927
30000156,Colman Dietmar,Atron,1347
30000156,Half Cocked,Condor,961
30000156,Kanabe Kaisan,Slasher,3503
30000156,Leandros Aideron,Incursus,1523
30000156,DanBoucher,Slasher,1040
30000156,Lavender Dancer,Slasher,5229
30000156,evilphoenix,Kestrel,2166
30000156,Taguchi Hiroko,Atron,2229
30000156,Lord Malic,Tristan,3274
30000156,Half Cocked,Condor,957
30000123,Pisa Toralen,Retriever,6981
30000123,Pisa Toralen,Capsule,424
30000156,DanBoucher,Cormorant,3365
30000156,Leandros Aideron,Velator,618
30000156,Half Cocked,Talwar,2988
30000156,Michael Buble,Punisher,3310
30000156,Private Cluck,Rifter,1494
30000156,Kanabe Kaisan,Tristan,3438
30000169,Rioni Kritiko,Cormorant,3287
30000142,Jerri Kors,Amarr Shuttle,524
30000142,Adderly219,Capsule,435
30000155,oden morel,Mobile Depot,11744
30000142,Adderly219,Ferox,30088
30000169,flesh sb1,Ibis,500
30000155,Dingus Dingtaro,Mobile Depot,12539
30000156,Martel Toralen,Kestrel,1556
30000142,Devis Terrona,Capsule,384
30000156,Haeriphos,Condor,1225
30000142,Devis Terrona,Ibis,517
30000156,Vanth Sorath,Tormentor,1467
