KillID,AName,AShip,AWeapom,ASecurity,ADamage
36824116,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,952
36824116,Maniacus,Flycatcher,Stasis Webifier II,4,0
36824116,,Mobile Medium Warp Disruptor I,#System,0,0
36824120,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,413
36824120,Maniacus,Flycatcher,Faint Epsilon Warp Scrambler I,4,0
36823754,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,1832
36823758,Manu Propria,Daredevil,Light Neutron Blaster II,2.539451,413
36823607,Maniacus,Flycatcher,Scourge Rage Rocket,3.992613,498
36823607,Nikola Rolando,Sabre,125mm Light 'Scout' Autocannon I,0,0
36823610,Maniacus,Flycatcher,Scourge Rage Rocket,3.992613,404
36823610,Nikola Rolando,Sabre,Sabre,0,41
36823156,Ghost Hunter Killer,Caracal,Mjolnir Fury Light Missile,5.002992,288
36823156,franco losi,Gnosis,Hammerhead II,2,642
36823156,,Dire Guristas Imputor,#System,0,0
36823073,franco losi,Gnosis,Heavy Neutron Blaster II,1.999339,454
36823054,franco losi,Gnosis,Heavy Neutron Blaster II,1.999339,53525
36823054,ranco rosi,Falcon,'Umbra' White Noise ECM,3.9,0
36822230,ANSCKARY,Taranis,Light Ion Blaster II,5.004708,573
36822230,Ghost Hunter Killer,Caracal,Rapid Light Missile Launcher II,5,0
36821285,Whoochec,Machariel,Dual 650mm Repeating Cannon II,3.737587,668
36821285,Clinkar,Talos,Warrior II,4.8,2818
36821285,Mr Frank,Talos,Warrior II,4.8,2808
36821285,Gulsen Y,Talos,Warrior II,5,1501
36821285,Bachosa,Talos,Warrior II,5,1427
36821285,Fergrew,Sleipnir,Warrior II,4,1370
36821285,tiger roze,Naga,Naga,4.1,1252
36821285,Nemesis Janitor,Talos,Talos,5,1209
36821285,hubavets,Talos,Warrior II,4.7,1156
36821285,Carly Faron,Talos,Talos,5,990
36821285,BAD DJ,Talos,Talos,5,931
36821285,xHakanx,Talos,Warrior II,4.6,911
36821285,ZAKURELL0 LINDA,Raptor,Raptor,5,198
36821285,Raven Spirit,Crow,Caldari Navy Scourge Light Missile,4.6,135
36821285,Keef Drow,Claymore,Caldari Navy Mjolnir Heavy Missile,-8.4,113
36821285,Paladium Azoun,Arbitrator,Arbitrator,2,22
36821285,Fledger,Scimitar,125mm Gatling AutoCannon II,1.5,0
36821285,Cici Escola,Malediction,X5 Prototype Engine Enervator,5,0
36821285,Lee Longpigmen,Curse,Medium Nosferatu II,5,0
36821285,Barbaydos,Crow,Upgraded 'Malkuth' Light Missile Launcher,5,0
36821161,Fifth Dimension,Sleipnir,220mm Vulcan AutoCannon II,1.98081,392
36821161,Nataniels,Hyena,Hyena,2.4,62
36821143,Fifth Dimension,Sleipnir,220mm Vulcan AutoCannon II,1.98081,2331
36821143,GX307,Sleipnir,Sleipnir,3.6,2079
36821143,Nataniels,Hyena,Hyena,2.4,158
36820884,Vellara,#System,Scourge Fury Heavy Missile,-8.820628,384
36820847,Vellara,Caracal,Scourge Fury Heavy Missile,-8.820628,833
36818745,Yun Kuai,Brutix,Heavy Ion Blaster II,-0.64978,11905
36818595,Dia Bella,Proteus,Heavy Neutron Blaster II,0.2315916,29443
36818595,Ogast,Maelstrom,Hammerhead II,-1,39683
36818595,Valentine Jane,Legion,Faint Epsilon Warp Scrambler I,0,0
36818557,Ogast,Maelstrom,800mm Repeating Cannon II,-0.9976013,50928
36818557,Dia Bella,Proteus,Proteus,0.2,24744
36818557,Valentine Jane,Legion,Medium Unstable Power Fluctuator I,0,0
36818359,Ogast,Maelstrom,800mm Repeating Cannon II,-0.9976013,43430
36818359,Dia Bella,Proteus,Proteus,0.2,31310
36818359,Valentine Jane,Legion,Faint Epsilon Warp Scrambler I,0,0
36818317,Ogast,Maelstrom,800mm Repeating Cannon II,-0.9976013,52830
36818317,Dia Bella,Proteus,Proteus,0.2,27318
36818317,Valentine Jane,Legion,Faint Epsilon Warp Scrambler I,0,0
36818289,Dia Bella,Proteus,Heavy Neutron Blaster II,0.2315916,47999
36818289,Ogast,Maelstrom,Maelstrom,-1,30366
36818289,Valentine Jane,Legion,Medium Unstable Power Fluctuator I,0,0
36818068,Buff Oksaras,Scythe Fleet Issue,Warrior II,-1.833224,448
36818061,Buff Oksaras,Scythe Fleet Issue,Warrior II,-1.833224,3065
36818012,Nete,Vagabond,220mm Vulcan AutoCannon II,-1.927231,36944
36818012,Dia Bella,Proteus,Proteus,0.2,32898
36818012,Mr Mookie,Rifter,150mm Light AutoCannon II,0.2,6357
36818012,Valentine Jane,Legion,Faint Epsilon Warp Scrambler I,0,0
36817901,Dia Bella,Proteus,Heavy Neutron Blaster II,0.2315916,42502
36817901,Nete,Vagabond,Vagabond,-1.9,31854
36817901,Mr Mookie,Rifter,Rifter,0.2,5180
36817901,Valentine Jane,Legion,Medium Unstable Power Fluctuator I,0,0
36817823,Dia Bella,Proteus,Heavy Neutron Blaster II,0.2315916,25124
36817823,Nete,Vagabond,Vagabond,-1.9,42253
36817823,Mr Mookie,Rifter,Rifter,0.2,8997
36817823,Valentine Jane,Legion,Medium Unstable Power Fluctuator I,0,0
36817729,Nete,Vagabond,220mm Vulcan AutoCannon II,-1.927231,42742
36817729,Dia Bella,Proteus,Proteus,0.2,23938
36817729,Mr Mookie,Rifter,Rifter,0.2,10019
36817729,Valentine Jane,Legion,Medium Unstable Power Fluctuator I,0,0
36816676,Zullasier,Redeemer,Dual Heavy Pulse Laser II,-9.770225,3353
36816676,ToTheCore,Redeemer,Redeemer,-4.7,3004
36816676,47Magnum,Redeemer,Redeemer,-2.8,2832
36816676,Tiberius Varis,Redeemer,Redeemer,-9.1,2272
36816676,Lorren Canada,Panther,Panther,-9.9,1878
36816676,penifSMASH,Widow,Caldari Navy Mjolnir Heavy Missile,-9.9,1281
36816676,drippy,Redeemer,Redeemer,-9.6,426
36816676,Raven Mogart,Panther,Initiated Warp Disruptor I,-4,0
36816676,Brandon the Builder,Loki,Republic Fleet Warp Disruptor,0,0
36816106,Dom MD,Redeemer,Mega Pulse Laser II,-0.07425055,6534
36816106,James Kordent,Redeemer,Redeemer,-3.1,7446
36816106,Lorren Canada,Panther,Panther,-9.9,5022
36816106,47Magnum,Redeemer,Redeemer,-2.8,4740
36816106,Raven Mogart,Panther,Panther,-4,3616
36816106,penifSMASH,Widow,Caldari Navy Mjolnir Heavy Missile,-9.9,3138
36816106,ToTheCore,Redeemer,Redeemer,-4.7,2582
36816106,drippy,Redeemer,Redeemer,-9.6,1909
36816106,SuperBeastie,Redeemer,Redeemer,-7.7,1484
36815561,Tiberius Varis,Redeemer,Mega Pulse Laser II,-9.148068,4449
36815561,Lorren Canada,Panther,Panther,-9.9,4401
36815561,Alekto Descendant,Redeemer,Redeemer,-9.9,3421
36815561,ToTheCore,Redeemer,Redeemer,-4.7,2497
36815561,James Kordent,Redeemer,Redeemer,-3.1,1939
36815561,Tony Bourdain,Sin,Bouncer II,4.6,1697
36815561,Lokust Ulthwe,Redeemer,Redeemer,-1.2,1606
36815561,Zullasier,Redeemer,Redeemer,-9.8,1334
36815561,drippy,Redeemer,Redeemer,-9.6,955
36815561,47Magnum,Redeemer,Republic Fleet Warp Disruptor,-2.8,0
36814818,Dia Bella,Proteus,Heavy Neutron Blaster II,0.2315916,805
36814818,,Guristas Destructor,#System,0,0
36814818,Valentine Jane,Legion,Faint Epsilon Warp Scrambler I,0,0
36811629,TN Gr1mmage,Deimos,Hammerhead II,1.991772,4697
36811629,jon20080920,Ishtar,Garde II,5,3283
36811629,Jkeeper,Vagabond,Warrior II,5,3186
36811629,RadiantShadow,Vagabond,Vagabond,5,2118
36811629,Crash Course,Sabre,Sabre,5,1477
36811629,jonjacob,Cerberus,Scourge Fury Light Missile,5,1119
36811629,DatGuyC Barviainen,Hawk,Scourge Rage Rocket,5,969
36811629,SuperJrOBC,Celestis,Phased Muon Sensor Disruptor I,2.7,0
36811196,Jkeeper,Vagabond,Dual 180mm AutoCannon II,5.008214,3820
36811196,Nerochi,Tornado,Tornado,5,3366
36811196,Terinity Fellows,#System,Garde II,5,814
36811196,Slim14,Naga,Naga,5,620
36811196,jonjacob,Cerberus,Scourge Fury Light Missile,5,597
36811196,Crash Course,Sabre,Sabre,5,570
36811196,RadiantShadow,Vagabond,Vagabond,5,408
36811196,TN Gr1mmage,Deimos,Heavy Neutron Blaster II,2,176
36811196,SuperJrOBC,Celestis,Phased Muon Sensor Disruptor I,2.7,0
36811201,DatGuyC Barviainen,Hawk,Scourge Rage Rocket,5.003778,213
36811201,RadiantShadow,Vagabond,Vagabond,5,276
36811201,Jkeeper,Vagabond,Small Unstable Power Fluctuator I,5,0
36811150,Tango Immortalis,Thrasher,200mm AutoCannon II,-2.20203,495
36811173,shal ri,Cerberus,Caldari Navy Scourge Heavy Assault Missile,-9.792894,1070
36811173,Tango Immortalis,Thrasher,Thrasher,-2.2,196
36811173,WaveDragon,Cerberus,Caldari Navy Scourge Heavy Assault Missile,1,104
36811173,Silvetica Dian,Burst,Hornet EC-300,-0.7,0
36811139,shal ri,Cerberus,Caldari Navy Scourge Heavy Assault Missile,-9.792894,19773
36811139,WaveDragon,Cerberus,Caldari Navy Scourge Heavy Assault Missile,1,10116
36811139,Tango Immortalis,Thrasher,Thrasher,-2.2,334
36811139,Silvetica Dian,Burst,Hornet EC-300,-0.7,0
36810993,Goodkid,Sleipnir,220mm Vulcan AutoCannon II,5.004512,432
36810845,Terinity Fellows,Dominix,Warden II,5.002174,625
36810845,MissyMiner,Drake,Target Painter II,0.2,0
36810845,jonjacob,#System,Mobile Large Warp Disruptor I,5,0
36810851,MissyMiner,Drake,Caldari Navy Scourge Heavy Missile,0.2387496,461
36810851,jonjacob,#System,Mobile Large Warp Disruptor I,5,0
36810677,jonjacob,Cerberus,Scourge Fury Light Missile,5.003938,97
36810677,RadiantShadow,Vagabond,Vagabond,5,1492
36810677,TN Gr1mmage,Deimos,Deimos,2,383
36810677,Romulus Janus,Vexor,Hobgoblin II,4.8,304
36810677,Crash Course,#System,Warp Disrupt Probe,5,0
36810677,Goodkid,Sleipnir,220mm Vulcan AutoCannon II,5,0
36810677,SuperJrOBC,Celestis,Phased Muon Sensor Disruptor I,2.7,0
36810662,jonjacob,Cerberus,Scourge Fury Light Missile,5.003938,969
36810669,TN Gr1mmage,Deimos,Heavy Neutron Blaster II,1.991772,3368
36810669,jon20080920,Ishtar,Curator II,5,911
36810669,jonjacob,Cerberus,Rapid Light Missile Launcher II,5,0
36810647,Nerochi,Tornado,1400mm Howitzer Artillery II,5.002612,133
36810647,RadiantShadow,Vagabond,Vagabond,5,327
36810631,Goodkid,Sleipnir,220mm Vulcan AutoCannon II,5.004512,1224
36810631,TN Gr1mmage,Deimos,Deimos,2,2954
36810631,Nerochi,Tornado,1400mm Howitzer Artillery II,5,0
36810646,Murphy Pilgrim,Stabber Fleet Issue,220mm Vulcan AutoCannon II,-1.791716,268
36810646,Buff Oksaras,Stabber Fleet Issue,Stabber Fleet Issue,-1.8,125
36810649,Consumata,Sacrilege,Caldari Navy Mjolnir Heavy Assault Missile,0.968487,462
36810649,Davvy71,Raven,Warp Disruptor II,-1,0
36810614,Murphy Pilgrim,Stabber Fleet Issue,220mm Vulcan AutoCannon II,-1.791716,365
36810614,Buff Oksaras,Stabber Fleet Issue,Stabber Fleet Issue,-1.8,121
36810611,Consumata,Sacrilege,Caldari Navy Mjolnir Heavy Assault Missile,0.968487,4744
36810611,Davvy71,Raven,Warrior II,-1,8137
36810611,Ogast,Capsule - Genolution 'Auroral' 197-variant,125mm Gatling AutoCannon II,-1,3187
36810611,Ereshgikal,Capsule,Warp Scrambler II,-2.9,0
36810595,IIFraII,Stabber Fleet Issue,Hammerhead II,0.1891278,6744
36810579,IIFraII,Stabber Fleet Issue,Dual 180mm AutoCannon II,0.1891278,4889
36810579,,Guristas Fleet Outpost,#System,0,0
36810541,Murphy Pilgrim,Stabber Fleet Issue,220mm Vulcan AutoCannon II,-1.791716,1703
36810541,Buff Oksaras,Stabber Fleet Issue,Stabber Fleet Issue,-1.8,1172
36810077,Consumata,Sacrilege,Caldari Navy Mjolnir Heavy Assault Missile,0.968487,8859
36810077,,Scourge Citadel Torpedo,#System,0,9813
36810077,Ereshgikal,Pilgrim,Valkyrie II,-2.9,3682
36810025,Nerochi,Tornado,1400mm Howitzer Artillery II,5.002612,458
36809865,Morphid Bathana,Thrasher,280mm Howitzer Artillery II,5.006411,373
36809865,Juckel,Hawk,Caldari Navy Scourge Rocket,2.6,2503
36809865,1984 Eto,Merlin,Merlin,5,76
36809831,Goodkid,Sleipnir,220mm Vulcan AutoCannon II,5.004512,332
36809831,RadiantShadow,Vagabond,Vagabond,5,115
36809831,SuperJrOBC,Celestis,Phased Muon Sensor Disruptor I,2.7,0
36809831,Crash Course,Huginn,Stasis Webifier II,5,0
36809777,Nerochi,Tornado,1400mm Howitzer Artillery II,5.002612,190
36809777,TN Gr1mmage,Deimos,Deimos,2,1300
36809777,RadiantShadow,Vagabond,Vagabond,5,501
36809777,Goodkid,Sleipnir,Sleipnir,5,342
36809777,jonjacob,Cerberus,Rapid Light Missile Launcher II,5,0
36809777,Admiral Doomchug,Slasher,Stasis Webifier I,2.3,0
36809777,Crash Course,Huginn,Vespa EC-600,5,0
36809781,Goodkid,Sleipnir,220mm Vulcan AutoCannon II,5.004512,34
36809781,RadiantShadow,Vagabond,Vagabond,5,740
36809781,TN Gr1mmage,Deimos,Deimos,2,460
36809781,Romulus Janus,Vexor,Hobgoblin II,4.8,351
36809781,Gauge Rise,Drake,X5 Prototype Engine Enervator,1,81
36809781,SuperJrOBC,Celestis,Phased Muon Sensor Disruptor I,2.7,0
36809781,jonjacob,Cerberus,Rapid Light Missile Launcher II,5,0
36809781,Nerochi,Tornado,1400mm Howitzer Artillery II,5,0
36809781,Crash Course,Huginn,Vespa EC-600,5,0
36809781,DatGuyC Barviainen,Hawk,Rocket Launcher II,5,0
36809722,BuyWonderBread,Dramiel,Caldari Navy Scourge Rocket,3.321248,209
36809722,Tialano Utrigas,Stiletto,Stiletto,4.9,146
36809722,Cozen Rey,Stiletto,Stiletto,0.2,91
36809722,Erk Aspurgur,Wolf,Warp Disruptor II,5,0
36809722,Bruthic,Stiletto,Warp Disruptor II,1.2,0
36809722,Eugen vanDan,Thrasher,Warp Scrambler I,4.9,0
36809722,Kira Distler,Stiletto,Warp Disruptor II,-0.1,0
36809722,Anastasios Ozuwara,Stiletto,Warp Disruptor II,2.2,0
36809684,Aktaress TilGalion,Jaguar,150mm Light AutoCannon II,5.000467,113
36809684,Bral Virpio,Talwar,Caldari Navy Mjolnir Light Missile,5,968
36809684,Erk Aspurgur,Wolf,Wolf,5,484
36809684,Eugen vanDan,Thrasher,Thrasher,4.9,446
36809684,DarkBridge TheSith,Hawk,Caldari Navy Scourge Light Missile,0.1,325
36809684,Sarah Marathari,Rifter,Rifter,4.5,300
36809684,BuyWonderBread,Dramiel,Dramiel,3.3,283
36809684,Ken Cook,Crow,Caldari Navy Scourge Light Missile,-0.8,281
36809684,Cozen Rey,Stiletto,Stiletto,0.2,114
36809684,Gith Willer,Slasher,Slasher,0.3,103
36809684,Anastasios Ozuwara,Stiletto,Warp Scrambler II,2.2,39
36809684,Tobs Hanomaa,Slasher,Faint Warp Disruptor I,5,25
36809684,Bruthic,Stiletto,Warp Disruptor II,1.2,0
36809684,Drebin Mazor,Slasher,Patterned Stasis Web I,0.8,0
36809684,Ferros OKeefe,Condor,Light Missile Launcher I,0.3,0
36809684,Inhalation ironfist,Incursus,Fleeting Propulsion Inhibitor I,3,0
36809684,Tialano Utrigas,Stiletto,Warp Disruptor II,4.9,0
36809684,Stocalu Pareleru,Slasher,J5 Prototype Warp Disruptor I,3.5,0
36809684,Lukas Ronuken,Slasher,J5 Prototype Warp Disruptor I,0.3,0
36809684,Kira Distler,Stiletto,Warp Disruptor II,-0.1,0
36808628,Goodkid,Sleipnir,220mm Vulcan AutoCannon II,5.004512,5188
36808628,TN Gr1mmage,Deimos,Deimos,2,273
36808520,Davvy71,Sabre,200mm AutoCannon II,-0.9914114,1122
36808527,Davvy71,Sabre,200mm AutoCannon II,-0.9914114,421
36808190,jon20080920,Ishtar,Bouncer II,5.007958,694
36808190,RadiantShadow,Vagabond,Vagabond,5,4008
36808190,jonjacob,Cerberus,Scourge Fury Light Missile,5,632
36808196,Nerochi,Tornado,1400mm Howitzer Artillery II,5.002612,2619
36808196,Romulus Janus,Vexor,Hobgoblin II,4.8,2508
36807630,Davvy71,Sabre,200mm AutoCannon II,-0.9914114,384
36807517,Ola Wonga,Astero,Warrior II,-2.380965,575
36806601,Tau AD,Hyperion,Large 'Notos' Explosive Charge I,-3.352936,1577
36806566,Tau AD,Hyperion,Neutron Blaster Cannon II,-3.352936,2343
36806571,Tau AD,Hyperion,Large 'Notos' Explosive Charge I,-3.352936,461
36806485,Romulus Janus,Vexor,Hobgoblin II,4.806712,986
36806485,jon20080920,Ishtar,Curator II,5,3707
36806485,TN Gr1mmage,Deimos,Hammerhead II,2,2747
36806485,Crash Course,Tempest,Warrior II,5,2658
36806485,Nerochi,Tornado,Tornado,5,2656
36806485,Goodkid,Sleipnir,Warrior II,5,2639
36806485,Jkeeper,Vagabond,Warrior II,5,2484
36806485,RadiantShadow,Vagabond,Vagabond,5,1699
36806485,DatGuyC Barviainen,Hawk,Scourge Rage Rocket,5,395
36806485,goldyloks,Huginn,Dread Guristas Stasis Webifier,3.7,0
36806485,jonjacob,Cerberus,Rapid Light Missile Launcher II,5,0
36806485,SuperJrOBC,Celestis,Phased Muon Sensor Disruptor I,2.7,0
36806306,Starblitz,Heretic,Caldari Navy Scourge Rocket,4.937023,340
36806306,Axel Sheppard,Taranis,Taranis,5,91
36806306,Grummish Gark,Ares,Warp Disruptor II,5,0
36806299,Starblitz,Heretic,Caldari Navy Scourge Rocket,4.937023,1508
36806299,Grummish Gark,Ares,Ares,5,138
36806299,ANSCKARY,Tornado,1400mm 'Scout' Artillery I,5,0
36806299,Axel Sheppard,Taranis,Light Ion Blaster II,5,0
36805854,Grummish Gark,Ares,75mm Gatling Rail II,5.002827,119
36805854,Starblitz,Heretic,Caldari Navy Scourge Rocket,4.9,338
36805854,Axel Sheppard,Taranis,Warp Disruptor II,5,0
36805845,ANSCKARY,Tornado,1400mm 'Scout' Artillery I,5.004708,147
36805845,Starblitz,Heretic,Caldari Navy Scourge Rocket,4.9,1304
36805845,Grummish Gark,Ares,Ares,5,363
36805845,Axel Sheppard,Taranis,Warp Disruptor II,5,0
